,Title,Year,Genre,Director,Cast,Movie_id,cast_no,poster_url
52,Bhariya,1996,"Action, Drama",Dayaram Dahal,"Mukunda Kishor Bhattarai, Dayaram Dahal, Rajesh Hamal, Monina Lamar",/title/tt8391676/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTI0RYXgLJBakmj5omQD2w7GqiIep1phaE5fDW5Z7iJtahf_OHTswh8uq7u1Xc&s
53,Chunauti,1996,Action,Naresh Kumar Poudel,"Kumud Pant, Bipana Thapa, Mohan Niroula, Saroj Khanal",/title/tt5093788/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWQMzkNwuquCKbgjqYX8yWdseTfthU46nH24YcfiXUh6YLQJXUZK8zZ8KNLA&s
55,Simarekha,1997,"Drama, History",Kishor Rana,"Laxmi Giri, Sudhanshu Joshi, Rajani Rana, Rajpal Thapa",/title/tt8364656/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdwa-oQdwg9CwGT5jRdR_tBUzy3yfNVuCO7EB6woQe7xqJXQYSWGGYeJvpQg&s
56,Balidaan,1997,Drama,Tulsi Ghimire,"Hari Bansha Acharya, Anjana Shrestha, Keshab Bhattarai, B.S. Rana",/title/tt6566022/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9pW-3P1t5xgcOcDQJnLnm98cAv67EFmnsuAwwSjqeaEkZxcoS3PChikFkuY8&s
57,Karodpati,1997,"Drama, Romance",Kishor Rana,"Bhuwan K.C., Sushmita K.C., Santosh Pant, Neer Bikram Shah",/title/tt8545214/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQj1oPHOApYQr-NEwX2X6Wo5vMHNMRNVtXk4Iv6rwk2OExu__OBSHTaOb-r_A&s
58,Shankar,1997,drama,Narayan Puri,"Rajesh Hamal, Bipana Thapa, Jal Shah, Hemanta Budhathoki",/title/tt0301835/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXytN247PpssBq1FNHsLMXG7HUW02UnZZmfW4YVit-5Nl3v0QWneLShBvqSsg&s
59,Naso,1997,Drama,Yadav Kharel,"Shiv Shrestha, Karishma Manandhar, Yubraj Lama, Shanti Maskey",/title/tt8503066/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNpG6lwcKSLlpVf1eUjsEFXi95-U57YuxmQoeyHB4B8GFEhUSNYv_cX0IfD6A&s
60,Saathi,1998,"Drama, Romance",Laxmi Nath Sharma,"Basundhara Bhusal, Rabi Giri, Rajesh Hamal, Gauri Malla",/title/tt8197562/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9u4BGC27tIPTF45gtILdyoY0oza8czvshEvAPZr61sXtLwJqNaG6m8wDO6bg&s
61,Allare,1998,drama,Ashok Sharma,"Ramchandra Adhikari, Subhadra Adhikari, Rajesh Hamal, Karishma Manandhar",/title/tt1245751/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3P-SLO1OxElSAlII-3R-NVi1V3qZqLpp1b5AwdkGQN07y-vX6ubznGPHZdYg&s
62,Aadi Kabi Bhanubhakta,1999,"Biography, Drama",Yadav Kharel,"Kamal Mani Dixit, Gopal Nepal, Dilip Rayamajhi, Bikki Shah",/title/tt0277546/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkEyK9ThRiNLCzguPEjXu6Z78Fy9uoe3jH1xZOhCbcHG5Chd0WxFHrHSHtn60&s
63,Thuldai,1999,"Action, Comedy",Dayaram Dahal,"Dayaram Dahal, Laxmi Giri, Jal Shah, Shiv Shrestha",/title/tt0299180/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4MRhO8MLQ6RO0TXa7HTVlKubrfiRCxmTXCjXPCkKASvCqKhangbiGq_K5Og&s
64,Nepali Babu,1999,Drama,Ugyen Chhopel,"Bhuwan K.C., Sushmita K.C., Jal Shah, Sunil Thapa",/title/tt8259022/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1mL70l4XFt5d2FTOGvJQC4FRINAldtmQAZS6o8ljbeYtCHuWhAyE6BZ_86fQ&s
65,Afanta,1999,drama,Shiva Regmi,"Shree Krishna Shrestha, Sushila Rayamajhi, Niruta Singh, Sunil Thapa",/title/tt0300908/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLxrS8juL959njZAOxXxQSjQbRox2_uUkitdUnwv_Y5bcfYFIuwEx18pvBlw&s
67,Yo Maya Ko Sagar,2000,drama,Ashok Sharma,"Ramesh Upreti, Jal Shah, Rajesh Hamal, Karishma Manandhar",/title/tt0314926/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_rEj22F9kb4QysttffZyc8DT93GB16g12xEyErLWM_y_frJvaKZhbPzPblFo&s
68,Ta Ta Sarai Bigris Ni Badri,2000,"Comedy, Drama",Dayaram Dahal,"Hari Bansha Acharya, Sushmita K.C., Bipana Thapa, Bhuwan K.C.",/title/tt7984848/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmmi7GMJ2sNyt9XVBHULec42nlAMe60qROLl-Ocyi79Hg6dqlbzBhfANbvrQ&s
69,Basanti,2000,"History, Musical, Romance",Neer Bikram Shah,"Karishma Manandhar, Rajesh Hamal, Gauri Malla, Neeraj Thapa",/title/tt0303719/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIMG4hDF3XYB9x3Rr4aOCDFiC9_9EPVLSDrHp0tG9Gd10EzLZqneAMPeO5qL8&s
70,Mukundo,2000,Drama,Tsering Rhitar Sherpa,"Gauri Malla, Mithila Sharma, Ratan Subedi, Nirmal Pyakurel",/title/tt0268446/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTUnp7nG1g2tfaK-3Hb-RdKmDTmWY1rfeoEXjzhbM4pLWd1Sxw0GXT0f0JGw&s
71,Jindagani,2000,Drama,Ujwal Ghimire,"Pooja Chand, Rajesh Hamal, Karishma Manandhar, Santosh Pant",/title/tt8886898/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQm_0HuXUIRVld-redR13WJkXz97alymRWejkymyYIQvkRYmtCrDysYh5fYjNk&s
72,Aago,2000,drama,Narayan Puri,"Sushil Chhetri, Bipana Thapa, Saranga Shrestha, Niruta Singh",/title/tt0342015/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9246e7yMLaOw0ycMZeEJh3XXXNM5MJWwictdZDDrorkacTNwI85Pmio3jM6U&s
73,Sukumbasi,2000,Drama,Sagar Pandey,"Bina Budhathoki, Rajesh Hamal, Deepa Shree Niraula, Sunil Dutt Pandey",/title/tt13445058/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROdNQ1RC33t_FUHbDEZnXhc9SXS4kz1Zo1TTa19nUwCWRAvS9145y774TMYF4&s
75,Dhukdhuki,2000,Romance,Dayaram Dahal,"Rajesh Hamal, Dinesh D.C., Neer Bikram Shah, Karishma Manandhar",/title/tt0384914/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyntcVUJvYSel3YjFim94vkkmwbuFx4jeZBQT8CfHVFnnxUA5d_9P5hO8Ktg&s
76,Ber Pipal,2001,"Drama, Horror, Mystery",Laxmi Nath Sharma,"Pooja Chand, Shree Krishna Shrestha, Moona Karki",/title/tt0396498/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQy02pP4FjgkxLIO-VgPMzqI-7qBRRxuAb1FOY-LrFIP4qCfs6r6n0ngbU0gw&s
77,Darpan Chhaya,2001,"Drama, Musical, Romance",Tulsi Ghimire,"Dilip Rayamajhi, Niruta Singh, Uttam Pradhan, Tulsi Ghimire",/title/tt1161732/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_CjMvXobXx0EMKw-1_2D3oupMkqZy98GYQ5cdjjbqLRhP80DnhN2kb-9pDj8&s
78,Maya Baiguni,2001,drama,Subash Gajurel,"Basundhara Bhusal, Rajesh Hamal, Shrisha Karki, Dhiren Shakya",/title/tt0325807/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxKZ_Bs_Yxqy4x1ob5Tj5MZh-Mqc3uxCOA2um0WRRJF8VV_1hfUSqunj7GCA&s
79,Aafno Manchhe,2001,drama,Shiva Regmi,"Shree Krishna Shrestha, Dilip Rayamajhi, Sushila Rayamajhi, Mithila Sharma",/title/tt0324966/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSSSJff5KqxtyJ3JnOZMRVFjHKTAvP__Ws2c8ZLzqIeXPkkJknVDQAXIOjYg&s
80,Buhari,2001,drama,Kishore Dhakal,"Ramchandra Adhikari, Kiran K.C., Shree Krishna Shrestha, Sushila Rayamajhi",/title/tt0303807/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxa7JT4CrXmrs5iluFpuATa2OTbx9s7a0bR7p3dF4lEoUDPcWkDbbLvf6N11g&s
81,Super Star,2001,"Action, Musical, Romance",Anish Koirala,"Bhuwan K.C., Sushmita K.C., Dilip Rayamajhi",/title/tt0301907/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9S5vf_zNyzIUI1Yzr_rvq7kFA23MHgS_s7HBJru7fA5wv68QdRRZseSznhjo&s
86,Aashirbad,2001,drama,Shambhu Pradhan,"Rajesh Hamal, Sanjeeta, Jal Shah",/title/tt0303602/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTreDVK5KRmxX_sjiWAYfvgveTO0q-URdLVafy_-yTZ5V1HmF-OmtItEBtWDR4&s
87,Siudo Ko Sindoor,2001,drama,Manju Kumar Shrestha,"Rajesh Hamal, Niruta Singh, Jharana Bajracharya, Neer Bikram Shah",/title/tt0392779/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQQvTaGlqAK4tFPWMnO9__TC98nPjD5rnYJP2yaAqMxVVx1sEZXqpDr9cx0w&s
89,Gaunthali,2001,Drama,Basanta Shrestha,"Pariksha Adhikari, Diksha Dula, Sadiksha Dulal, Sabita Gurung",/title/tt0304067/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1_KmHvRYBLGzor0c-29T3htR_V6Xao8gZ4UKzM6kaVC_oeC22ZuLTvaRki5k&s
91,Jeevan Saathi,2001,drama,Deepak Shrestha,"Nabeen Shrestha, Jharana Thapa, Neer Bikram Shah, Deepak Shrestha",/title/tt0301471/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBR1XhmN7eSWlSOhvhZm3gaMc8a8pJlrV4rsJ1tFfcbFUbP6_DQaxHCVr9Wg&s
92,Daag,2001,drama,Akash Adhikari,"Anupama Prasai Koirala, Rajani Rana, Jal Shah, Dinesh Sharma",/title/tt0325215/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4Kc0OpOBoX-i2jkDUHHvze6hR8kxenMIqrJhj4t-SwZwsqhpS3dG2BCck62g&s
95,Afno Ghar Afno Manche,2001,drama,Narayan Puri,"Shree Krishna Shrestha, Melina Manandhar, Tika Pahari, Dilip Rayamajhi",/title/tt0303610/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcSWmCElpiwrrk-_qh9-wIJBdyTrl7HdCQfD5Y_NGs41LtbyxBJ9gUDPPnOmE&s
99,Panchhi,2001,Drama,Akash Adhikari,"Akash Adhikari, Pooja Chand, Sharmila Malla, Karishma Manandhar",/title/tt2775846/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzkd0c-ztS8sLUKKgc40OfzcpGLV6c3BvY-ZMafnGGckkuqr1OeC164nu9ovo&s
104,Gaajal,2001,"Musical, Romance",K.P. Pathak,"Bipana Thapa, Ramesh Upreti, Sushil Chhetri, Krishna Malla",/title/tt0301326/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9owVacLBD3XX2ra__kLLy8RDoHb9qXVx2b-qdpFgVuWqkYq8s1CKYjh3DaxQ&s
106,A Mero Hajur,2002,Drama,Shiva Regmi,"Shree Krishna Shrestha, Jharana Thapa, Ganesh Upreti, Sushila Rayamajhi",/title/tt8759752/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfx5pbRBiDn3gui-knoxkdCrmVwewtQsCPMIPQdWCw4G34uPyqV-Kubv9CRWg&s
108,Lahana,2002,"Drama, Romance",Tulsi Ghimire,"Niruta Singh, Dilip Rayamajhi, Uttam Pradhan, Mithila Sharma",/title/tt8227810/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzIrl162hWpLYQDbS42SMutwkSNyE22Dqldwl99RgriNk1GFVgjZbVe9DWpQ&s
109,Pijanda,2002,drama,Deshbhakta Khanal,"Nikhil Upreti, Niruta Singh, Sushila Rayamajhi",/title/tt0325976/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLCH066THMnV6_j7SnVDzz_IT94-YA5B9so83_1qIbppBhpqGe8nf3BgEuHg&s
112,Mamaghar,2002,"Action, Drama",Narayan Puri,"Prem Pandey, Gauri Malla, Melina Manandhar, Dilip Rayamajhi",/title/tt0392407/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5SidUXPHL4FV8tadWnpLIkbvb815tbihMc5572TkRLALjlAc4ANh43VMUmtM&s
117,Muskan,2002,drama,Yuv Raj Lama,"Sushil Chhetri, Dinesh D.C., Dilip Rayamajhi, Sushila Rayamajhi",/title/tt0316288/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRJoTxX2Y112W8jqo7QMcqxNdyiYep6SiKLCGLSWStgido5MIs0WchnVkP0VU&s
138,Muna Madan,2003,Drama,Gyanendra Bahadur Deuja,"Deepak Tripathi, Usha Paudel, Mithila Sharma, Subhadra Adhikari",/title/tt0304435/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTKy-ulO-4aquIHRKyEqd8fSReSQaghfog4yYjB4GNHcaRbMoQbUlhmMToB44&s
139,Dui Kinara,2003,"Drama, Romance",Tulsi Ghimire,"Tulsi Ghimire, Jeetu Nepal, Niruta Singh, Suman Singh",/title/tt8165420/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShc9E_MMOqB4GmO-G0FZHED1ZYZMTEe-d5H34HzDRYvCfJXVuwf4T6uLv7TVM&s
140,Pahuna,2003,Drama,Shiva Regmi,"Shree Krishna Shrestha, Jharana Thapa, Dilip Rayamajhi, Karishma Manandhar",/title/tt8374716/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0to6BSujBmLWUTztg981FCbDwZJlhJMd3vOMiuh37UgKdYyeQj00c1DiktQ&s
141,Jetho Kancha,2003,"Comedy, Drama",Dayaram Dahal,"Rajesh Hamal, Sushila Raimajhi, Jal Shah, Mukund Shrestha",/title/tt0382764/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjARELIheYgXSfr6YKwtMtW6BSXLb68wEjG6tkiVSZqP2BoiIl5v_kBtlYQfo&s
142,Dukha,2003,Drama,Deepak Shrestha,"Hemanta Budhathoki, Rajesh Hamal, Dilip Rayamajhi, Niruta Singh",/title/tt6620274/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTV4C7N87eVWDB34LDd0Shv608nyaZ6uKQPVAnG-a0cFBepv91W9J90uxCD_w&s
143,Je Bho Ramrai Bho,2003,"Action, Comedy",Hari Bansha Acharya,"Hari Bansha Acharya, Laxmi Giri, Rajesh Hamal, Jal Shah",/title/tt0452803/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZIn4eiavZgJozor0U5IosrPWbK3vAz9H7q84tPL5iMsBjL23pijZ7couon0w&s
144,Hami Tin Bhai,2004,"Action, Comedy",Shiva Regmi,"Rajesh Hamal, Shree Krishna Shrestha, Nikhil Upreti, Jharana Thapa",/title/tt7471552/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiXvqvOI5HVLEUyXLui7CZ0_s22LoPcBN6rMGfGdMsCPGqmtdncMqhXgM_ng&s
145,Sukha Dukha,2004,Drama,Shiva Regmi,"Keshab Bhattarai, Shree Krishna Shrestha, Mithila Sharma, Madan Krishna Shrestha",/title/tt8254094/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhk6gLpBx9wopPGG7VP8kxJHXyJMIITJtjlIuvovNPG1iZYheGQLy6WIw7LBo&s
146,Pareni Maya Jalaima,2004,Romance,Ram Sharan Ghimire,"Dilip Rayamajhi, Uttam Pradhan, Jharana Bajracharya, Mithila Sharma",/title/tt0427636/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjwZZ7EaIOU0bNpw0jBjcXoch9cbh5xnBl8pCff4FyauxmQGXc9fOuZ7Wg&s
147,Muglan,2005,Drama,Shiva Regmi,"Dilip Rayamajhi, Ramit Dhungana, Sushil Chhetri, Jharana Thapa",/title/tt8374226/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQgaWllgvSoubp6QgGNnJkz_iHmOQBNqKrMlJ1EIuCWJa-4lLWhQOq_2vjXA&s
148,Heavenly Place Manang,2005,Adventure,Jaswant Dev Shrestha,"Binod Gurung, Jaswant Dev Shrestha",/title/tt1679201/,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7Pyi0ux6MQIsCyMH0LpMvWN4fJeJfadp_0SThxRZL1h-ZWbOddpLROG-4Lg&s
149,Basain,2005,Drama,Subash Gajurel,"Mukunda Bastakoti, Dinesh D.C., Ranju Lamichhane, Uttam Pradhan",/title/tt0485092/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8fSMNLnosip6BCyxu57tGvvojburXeR2XGfXSBd3yJQaGhW3RJJsGElkGpwc&s
151,Krodh,2006,drama,Akash Adhikari,"Akash Adhikari, Shanti Maskey, Usha Paudel, Jal Shah",/title/tt0888035/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmGsbkKaJxlKuELlstJC1NAP1eWB60qo31ZNzY1DeIS3YDJqMNGgmsufeL-w&s
152,Duniya,2006,Drama,Shiva Regmi,"Laxmi Giri, Bhuwan K.C., Tripti Nadakar, Mithila Sharma",/title/tt8374342/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKPgdmPGA5EbE0ossKVTgXKxekJ3oy-phw0H1ETAIe_X_kIXafKRUyaL35AFY&s
153,Alpaviram,2006,Drama,Narayan Puri,"Sunil Pokharel, Vijay Lama, Rama Thapalia, Samyam Puri",/title/tt0888000/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1_KmHvRYBLGzor0c-29T3htR_V6Xao8gZ4UKzM6kaVC_oeC22ZuLTvaRki5k&s
154,Manish,2006,Drama,Shiva Regmi,"Bhuwan K.C., Nikhil Upreti, Dilip Rayamajhi, Ramit Dhungana",/title/tt27075904/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHE0SnoF--QQEOKKbp38ELrUjwnEPcApXYFyhujWIzdAS59e8F8JX8WZmVyg&s
155,O Estado do Mundo,2007,"Drama, History",Ayisha Abraham,"Shyam Bahadur, Jurandyr Ferreira, Sakda Kaewbuadee, Wake Li",/title/tt1058526/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwmF7fIIfZA6K6BOe_x-rlM0SHBgy_QDJk3m79HvuSCdnCFAnHSNIC4rn_w1c&s
156,Dewar Babu,2007,"Drama, Romance",Gyanendra Bahadur Deuja,"Biraj Bhatta, Ramit Dhungana, Rekha Thapa, Tripti Nadakar",/title/tt7341216/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH6jDjQa7-ePfVvy1Rk-_-_N7CP-l0cEcYh2SBZhNTZwHQe9SOcRw9cC_ZSNc&s
157,Kismat,2007,Drama,Ujwal Ghimire,"Biraj Bhatta, Jeetu Nepal, Neer Bikram Shah, Harihar Sharma",/title/tt8782260/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4KVUGRp_ml7uFHH7mS2LBz9kgk54v_dZzYJfdFQWJF9nawEdyKa4d856dsTw&s
159,Himalayan Kingdom of Nepal,2007,"Action, Comedy, Drama",Dayaram Dahal,"Rajesh Hamal, Dhiren Shakya, Sudhanshu Joshi, Deepak Raj Giri",/title/tt10726106/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuj2F9sXNZbcQm-gGQbE9YPCC3067PwLsjO73EMXzjQB24xcvAcYKeeKY8IA&s
160,Kagbeni,2008,"Drama, Horror",Bhusan Dahal,"Saugat Malla, Deeya Maskey, Nima Rumba, Asha Magrati",/title/tt1729652/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4kkAYiZ_rtzIFIaNAfQP7HRwYRJgwF4EgH9Dlh30TVDAiijoRc0C6bXslGg&s
161,Himmat,2008,Drama,Deepak Shrestha,"Biraj Bhatta, Hemanta Budhathoki, Ramit Dhungana, Dinesh Sharma",/title/tt8359454/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfX9U1wNmZlrkxOuyR7eUmv3G9AK_Ru0K5dOU2wySwy_eEqxzmL7HAHKzWBw&s
162,Sano Sansar,2008,"Comedy, Romance",Alok Nembang,"Karma Shakya, Namrata Shrestha, Neer Bikram Shah, Jiwan Luitel",/title/tt2007994/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb7TTKZb_jpsXieK2sAzm3-Lm9N8d3PYus2A1RkUdLcVo9w2e3X4nZgor5qTk&s
163,Himalayaeui sonyowa,2008,Drama,Soo-il Jeon,"Choi Min-sik, Hamo Gurung, Namgya Gurung, Tsering Kipale Gurung",/title/tt1179079/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa5q-fcPk1ljH71whYbtQGm0FIUM6-W9SiWRl-RNODvP5DPBkxCEBL-omVzx4&s
164,Kaha Bhetiyela,2008,Drama,Shiva Regmi,"Rabi Giri, Shweta Khadka, Shree Krishna Shrestha, Sajwal Pageni",/title/tt8374202/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqqIwTC7OtYfnn5hMhQMt-4by9Z-QGzlXZ3hbERx9y88isBsepsyUkm2OWMA&s
165,Ma Timi Bina Marihalchu,2008,Drama,Dayaram Dahal,"Bhuwan K.C., Sushmita K.C., Sushila Rayamajhi, Laya Sangraula",/title/tt8822102/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf0KX23VElH_pNuL5XRB3y3q980RU3bHVtUD1kYIfppNNq_YvWXcDkJqRM2Q&s
167,Maina,2008,Biography,K.P. Pathak,"Anita K.C., Govinda Prabhat, Radha Shrestha, Kumar Maharjan",/title/tt6710198/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFxcF3-o9SPs5pPk_Mv7DPOlQT3CvRG3-PYWHpSA0k9vFk4qjlgE6BftTKJP4&s
168,Kal-Khanda,2008,History,Shankhar Acharya,"Shankhar Acharya, Mukunda Kishor Bhattarai, Nisha Kc, Sisham Kc",/title/tt15399518/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeD5bk3bwxQxBr5ZeKjKlfm7p8LX4WkNvZJho4iH6YE0RSYzml-jqMJtjyPQ&s
169,Janayuddha,2008,Drama,Bimal Poudel,"Akash Adhikari, Ramchandra Adhikari, Sushil Chhetri, Nandita K.C.",/title/tt8774178/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEP9jh5pL0dy3aJ0zn3ynZEpGPfgQs5ThJyg8YbK8sdVh-ch2HEQaRb09_WA&s
170,Mr. Mangale,2008,drama,Kishor Rana,"Mithila Sharma, Biren Shrestha, Rekha Thapa",/title/tt8822142/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQazdFffPuSJISRlhIAFWmgDkK8tBVCIVAcWSCx2uadD1MLKIdf6ahOxr6jUA&s
171,Mero Euta Saathi Cha,2009,Romance,Sudarshan Thapa,"Keshab Bhattarai, Sushma Karki, Jiwan Luitel, Zenisha Moktan",/title/tt2094059/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSr9l3gxC5TQLa6QGIZtxKNXUWS1DwzEa-Etnkjhymni6NU5fjZltJhXjVqCA&s
172,Mission Paisa,2009,"Animation, Action, Crime",Simosh Sunuwar,"Nikhil Upreti, Suraj Rd, Amir Gautam, Nisha Adhikari",/title/tt1977865/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSq0b0fl_ICighM4weWkROIVFu7oDR90GpLdsoXOhU6i-Hg1klcmKfxD_nAxQ&s
173,Patachara,2009,Drama,Ram Krishna Khadgi,"Laxmi Giri, Melina Manandhar, Karma Shakya",/title/tt8470756/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo5-Ej1UolA193Ng6SPz2zgs-dXo1gci3XARwZFC34B69EBhCK-Ex1UKOYCw&s
174,Silsila,2009,Drama,Rajendra Uprety,"Biraj Bhatta, Soniya K.C., R.P. Panta, Sushil Pokharel",/title/tt7229916/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNKqhwyn7mGOOTACIL5YGuJSgN9En_8zc8qc3fgt2E5LCl9qg9R2W08PbSHA&s
175,Mustang Secrets Beyond the Himalayas,2009,Adventure,Jaswant Dev Shrestha,"Buddi Ratna Sherchan, Jaswant Dev Shrestha",/title/tt1543542/,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSC53wHWVjXzjV08fZ0tRLLsc9qoFCcyaZcZUZ-MKghIP7Z-1M4ZxbnwOfTaA&s
176,The Yug Dekhi Yug Samma,2009,Drama,Dipendra K. Khanal,"Rajesh Hamal, Nandita K.C., Rajaram Poudel, Anu Shah",/title/tt10371334/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaw3ydsKS4edWgM1knDxuNf_E20KBcJRVLUZfAMxDT7J6J8Z7eDoIC9SkIow&s
177,Gorkha Rachhayak,2009,Action,Giri Raj Lamichhane,"Narendra Singh Dhami, Rekha Thapa",/title/tt8979822/,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuXer9UGOFYWURuFpugoGYrT8-Rj8BfrG3yUCw2eScQ1OfE28a3EDdtlLMqVc&s
178,Maya Ta Maya Ho,2009,Romance,Tulsi Ghimire,"Narendra Singh Dhami, Tulsi Ghimire, Laxmi Giri, Sanchita Luitel",/title/tt8228040/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSshowXSsRvRmnDoEMtN08LtUwUlsZJBp-uVLGPE7x_-htbK27EhQOO5U2PNrs&s
179,Here,2009,Drama,Tzu Nyen Ho,"Jason Chang, John Low, Jo Tan, Hemang Yadav",/title/tt1426364/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf2x2ySNTNakd58z7BVnwvvHKiEsDTe-_t_JycXhBBoz3loYNR7OZNRGQf4w&s
180,Mausam,2009,Drama,Shyam Bhattarai,"Rajesh Hamal, Sharmila Malla, Ranjana Sharma, Aaryan Sigdel",/title/tt8809286/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgu5n_8TIXorsaCLYrEfkbjoDJghD5pTz8H7RbHz0o3k-z1YDV7TP2ldIPwQ&s
