,Title,Year,Genre,Director,Cast,Movie_id,cast_no,poster_url
619,Prema,2023,Romance,Govind Singh Bhandari,"Surendra Basel, Prakash Basnet, Sabin Bastola, Arun Chettri",/title/tt26695236/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpcqzVltEhylD5DNIo-FIpRmL1pKBTUKyR8Qipc37mET2Ra-sxKB0mAa9a4Q&s
620,Basenji,2023,"Drama, Horror, Thriller",Ian Scott Clement,"Asim Niroula, Supreme Rai, Sarita Giri, Raj Pangeni Sharma",/title/tt10504992/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCJo2ty3KpbRYM3ovQgF1Cskjq8KVpUdI2CmnWPEGqznWu6l3l0FQeTKSYf24&s
621,Bahaab,2023,Family,Pramod Kandel,"Surakshya Panta, Kamal Mani Nepal, Afraan Ali, Surya Sharma Bhatta",/title/tt16121280/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrSohKaaw-3C8Zu2fhlLWk9SMDUkvdSB6zy6ETrVV8iSKX3iwXM-2vCUPAUg&s
622,Chaurasi Puja,2023,"Biography, Drama, History",Kumud Pant,"Bidhya Bati Pant, Kumud Pant, Yuvraj Pant, Sharada Pant",/title/tt28501085/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKEG5v8I2rRArNz1z3jOgHIcpHCZyXKUzYOBt6sHWX8xguru21-idR69H_3w&s
623,Hookah,2023,"Comedy, Drama",Sambhu Thapa,"Bhupendra Dhakal, Prakash Ghimire, Tej Giri, Pramila Khanal",/title/tt6487068/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSKZPvAfR7IVz9L1673RtA12YE5ANooTjcscgpCoOQ3DXrvFWFESZJfrSaweM&s
624,Green Blackberries,2023,Drama,Prithviraj Das Gupta,"Iris Rai, Bipasna Rai, Boben, Dhananjay Das",/title/tt11763190/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXZQRqRJhPA4JdxMJCNsNBVz8ucD4_7nGelESR6JjXsyT87PjgZOZMG-5KlQ&s
625,Lunga,2023,Drama,Kiran Rai,"Prakash Dahal, Bhim Sherma Limbu, Bhuwan Singh Rai, Sara Rai",/title/tt28283299/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEFzUmew_A3N2dRhw8_q3DWZp8_mpWww6Bvs1RXBG3xDP0KufZqWXqHdaKGg&s
626,Bulaki,2023,Drama,Laxman Sunar,"Topendra Bista, Naren Khadka, Surakshya Panta",/title/tt27989702/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXOYah96cILZBSJdmP3k2oAicj3V7uN3ikmyUudnQdg80JhG4w_K9rhYlgIQ&s
627,Nabin: The Rise,2023,Action,Santosh Sen,"Nabin Luhagun, Priyanka Karki, Najir Hussain, Pramod Sitoula",/title/tt25621878/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuzI57btHwbAi44ppwoVCOgsDfzXTbKgMWg7SxEtp_tUn62yZ1hefUWuhly9I&s
629,Timro Mero Sath,2023,"Drama, Romance",Ramesh Mk Poudel,"Sandip Chhetri, Dipisha Kc, Puspa Khadka, Saroj Khanal",/title/tt28229373/,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwNGvVcmz1YJ3C1AyMGjueH5NWy1pcnzxDVbhiR0BwEf2FT3Y9H-e6HzFfUg&s
630,Pradeshi 2,2023,"Drama, Family",Narayan Rayamajhi,"Barsha Siwakoti, Keki Adhikari, Prakash Saput",/title/tt29100768/,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjS0AeWu6mHTlzbnl7kOqLossPYt1_FtL1jnTToMdaidrywNq_BhvUfu7YGgg&s
631,Lau Kumude Hidyo Hero Banna,2024,Drama,Kumud Pant,"Kumud Pant, Janaki Pant",/title/tt28626549/,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_V1BDv7SMT2AVvz-bQTAfygKb3GiPJP-hyFQHTcWp6bgDnXq9FFXVgUG1BMc&s
