,Title,Year,Genre,Director,Cast,Movie_id
101,Bihani,(2001),,Tejendra Bhurte,['tor:\nTejendra Bhurtel'],/title/tt0325071/
102,Manai Ta Ho,(2001),,,[''],/title/tt0304376/
103,Baimani,(2001),,"Bijaya Chalise
                 |","['Shree Krishna Shrestha', 'Bipana Thapa']",/title/tt0325044/
104,Gaajal,(2001),"Musical, Romance","K.P. Pathak
                 |","['Bipana Thapa', 'Ramesh Upreti', 'Sushil Chhetri', 'Krishna Malla']",/title/tt0301326/
105,Daiva Sanjog,(2001),,"Manju Kumar Shrestha
                 |","['Basundhara Bhusal', 'Saroj Khanal', 'Gauri Malla', 'Sunny Rauniyar']",/title/tt0391901/
106,A Mero Hajur,(2002),Drama,"Shiva Regmi
                 |","['Shree Krishna Shrestha', 'Jharana Thapa', 'Ganesh Upreti', 'Sushila Rayamajhi']",/title/tt8759752/
107,Mitini,(2002),Drama,,"['Shivahari Poudel', 'Uttam Pradhan', 'Dilip Rayamajhi', 'Bipana Thapa']",/title/tt0314385/
108,Lahana,(2002),"Drama, Romance","Tulsi Ghimire
                 |","['Niruta Singh', 'Dilip Rayamajhi', 'Uttam Pradhan', 'Mithila Sharma']",/title/tt8227810/
109,Pijanda,(2002),,"Deshbhakta Khanal
                 |","['Nikhil Upreti', 'Niruta Singh', 'Sushila Rayamajhi']",/title/tt0325976/
110,Maya Namara,(2002),,,"['Sohail Bisht', 'Sanjeev Bisht', 'Ramit Dhungana', 'Divya Dutta']",/title/tt0314362/
111,Khandan,(2002),,"Yuv Raj Lama
                 |","['Niruta Singh', 'Rajesh Hamal', 'Gauri Malla', 'Rejina Uprety']",/title/tt0304286/
112,Mamaghar,(2002),"Action, Drama","Narayan Puri
                 |","['Prem Pandey', 'Gauri Malla', 'Melina Manandhar', 'Dilip Rayamajhi']",/title/tt0392407/
113,Manmandir,(2002),,"Yuv Raj Lama
                 |","['Jharana Bajracharya', 'Bhubhan Chand', 'Rajesh Hamal', 'Ravi Shah']",/title/tt0316220/
114,Santan Ko Maya,(2002),,,[''],/title/tt0314611/
115,Maan,(2002),,Shovit Basne,['tor:\nShovit Basnet'],/title/tt0314341/
116,Shadhyantra,(2002),,Sunil Pande,['tor:\nSunil Pandey'],/title/tt0326133/
117,Muskan,(2002),,"Yuv Raj Lama
                 |","['Sushil Chhetri', 'Dinesh D.C.', 'Dilip Rayamajhi', 'Sushila Rayamajhi']",/title/tt0316288/
118,Malai Maaf Garidau,(2002),,"Bijaya Thapa
                 |","['Dinesh D.C.', 'Laxmi Giri', 'Uttam Pradhan', 'Dilip Rayamajhi']",/title/tt0316210/
119,Sanyas,(2002),,uri Mall,['Gauri Malla'],/title/tt0316539/
120,Mama Bhanja,(2002),,"Narayan Puri
                 | 
    Star:
Bipana Thap",['tor:\nNarayan Puri\n                 | \n    Star:\nBipana Thapa'],/title/tt0316212/
121,Bakshis,(2002),,"Deepak Alok
                 |","['Rajesh Hamal', 'Gauri Malla', 'Neer Bikram Shah', 'Bipana Thapa']",/title/tt0315251/
122,Dhansamphati,(2002),,"Rajkumar Sharma
                 |","['Jharana Bajracharya', 'Gauri Malla', 'Dilip Rayamajhi']",/title/tt0315486/
123,Malati,(2002),,Anil Sangraul,['tor:\nAnil Sangraula'],/title/tt0316211/
124,Bhai Tika,(2002),,"Laxmi Nath Sharma
                 |","['Jharana Bajracharya', 'Basundhara Bhusal', 'Laxmi Giri', 'Rekha Thapa']",/title/tt0315285/
125,The Rickshaw Puller,(2002),,Udaya Singh Bohar,['tor:\nUdaya Singh Bohara'],/title/tt0416188/
126,Pooja,(2002),,"Deepak Raimajhi
                 | 
    Star:
Jeetu Nepa",['tor:\nDeepak Raimajhi\n                 | \n    Star:\nJeetu Nepal'],/title/tt0316425/
