,Year,Film,Cast,Director,Genre
44,1992,Arunima [Girl's Name],"Saroj Khanal, Kristi Mainali, Karishma Manandhar, Arjun Shrestha, Mausami Malla",Mahendra Bhakta Shrestha,
45,1992,Chokho Maaya (Pure Love),"Saroj Khanal, Kristi Mainali, Bijaya Lama",Raj Bikram Shah,
46,1992,Dui Thopa Aansoo (Two Drops of Tears),"Bhuwan K.C., Shrawan Ghimire, Anuradha Sawant",Tulsi Ghimire,
47,1992,Kastoori (Musk),Karishma Manandhar,Kiran Pradhan,
48,1992,Maya (Love),"Bhuwan K.C., Puran Joshi, Nabina Shrestha, Mausami Malla, Mithila Sharma",Pradeep Rimal,
49,1992,Bhauju (Sister in Law),"Rajesh Hamal, Karishma, Neer Shah, Karishma Manandhar",Rajendra Shalav,
50,1992,Tapasya (Prayer),"Saroj Khanal, Gauri Malla, Beena Basnet, Karishma Manandhar",Narayan Puri,
51,1993,Aandhi Beri (The Storm),"Gauri Malla, Binod Kharel",Yadav Kharel,
52,1993,Adhikar (The Right),"Rajesh Hamal, Kristi Mainali, Mithila Sharma",Prakash Thapa,
53,1993,Jhuma [Typical Nepali lady],"Mausami Malla, Arjun Shrestha",Pradeep Upadhay,
54,1993,Koseli (The Gift),"Trupti Totlani Narodkar, Krishna Malla, Bharati Ghimire, Shrawan Ghimire, Bijaya Lama",Tulsi Ghimire,
55,1993,Manakamana (A Heart's Desire),"Shiv Shrestha, Karishma Manandhar",Subodh Kumar Pokharel,
56,1993,Milan (Meeting),"Shiv Shrestha, Karishma Manandhar, Brazesh Khanal, Melina Manandhar",Laxminath Sharma,
57,1993,Priyasi (Girlfriend),"Melina Manandhar (debut), Kiran Pratap K.C.",Deepak Rayamajhi,
58,1993,Sankalpa (Decision),"Bhuwan K.C., Krishna Malla, Sharmila Malla, Kristi Mainali, Shiv Shrestha",Shyam Rai,
59,1994,Bhauju (Sister-in-Law),"Rajesh Hamal, Karishma Manandhar",Rajendra Shalabh,
60,1994,Deuki [Goddess],"Rajesh Hamal, Mausami Malla",Banni Pradhan,
61,1994,Deuta (God),"Rajesh Hamal, Srijana Basnet (debut), Shrawan Ghimire",Tulsi Ghimire,
62,1994,Chatyang (Lightning),"Rajesh Hamal, Gauri Malla",Giri Raj Lamichhane,
63,1994,Kasam (The Promise),"Rajesh Hamal, Kristi Mainali, Mausami Malla",Deepak Rayamajhi,
64,1994,Naata (Relation),"Bhuwan K.C., Gauri Malla, Shree Krishna Shrestha, Ashok Sharma",Biswa Banet,
65,1994,Sapana (Dream),"Bhuwan K.C., Shiv Shrestha, Karishma Manandhar, Mausami Malla",Sambhu Pradhan,
66,1994,Aparadh (Crime),"Rajesh Hamal, Kristi Mainali, Melina Manandhar",Amar Rasilee,
67,1994,Badal (Cloud),"Bhuwan K.C., Krishna Malla, Sharmila Malla, Bina Basnet",Krishna Malla,
68,1994,Chahana (A Desire),"Rajesh Hamal, Sunil Thapa, Karisma Manandhar, Santosh Panta, Saroj Khanal",Sheetal Nepal,
69,1994,Cheli (A Girl),"Mausami Malla, Dhiren Shakya",Raju Dhowj Rana,
70,1994,Dakshina (Tribute),"Bhuwan K.C., Niruta Singh (debut)",Tulsi Ghimire,
71,1994,Dushman (Enemy),"Kiran Pratap, Saroj Khanal, Mausami Malla, Rupa Rana",Badri Adhikari,
72,1994,Janma Janma (One Life to Another),"Saroj Khanal, Dhiren Shahkya",Sheetal Nepal,
73,1994,Jhajhalko (Remembrances),"Shiv Shrestha, Gauri Malla, Kristi Mainali, Shree Krishna Shrestha (debut)",Gagan Birahi,
74,1994,Pahilo Prem (First Love),,Chetan Karki,
75,1994,Sadak (Road),"Rajesh Hamal, Saroj Khanal, Sunny Runiyar",Tirth Thapa,
76,1994,Paribhasa (Definition),"Rajesh Hamal, Saroj Khanal, Karishma Manandhar",Rajendra Shalabh,
77,1994,Prem Puja (Praising of Love),Dhiren Shakya,Raju Dhowj Rana,
78,1994,Prithvi (World),"Rajesh Hamal, Srijana Basnet, Mausami Malla",Prakash Sayami,
79,1994,Rakchaya (Protection),,Prem Baniya,
80,1994,Sannani (A Small Girl),"Saroj Khanal, Anita Silwal",Narayan Puri,
81,1994,Saubhagye (Good Luck),"Dhiren Shakya, Mausami Malla, Rupa Rana",Madhav Sapkota,
82,1994,Sauta (2nd Wife),"Bhuwan K.C., Karishma Manandhar, Bina Basnet",Narayn Puri,
83,1994,Shanti Deep (Light of Peace),"Puran Joshi, Arjun Jung Shahi, Nabina Shrestha, Mithila Sharma",Royal Nepal Film Corporation,
84,1994,Mahadevi (Main Goddess),"Bhuwan K.C., Karishma Manandhar",Narayan Puri,
85,1994,Swarga (Heaven),"Shiva Shreshtha, Neer Shah, Arjun Shrestha, Gauri Malla",Sambhu Pradhan,
86,1994,Truck Driver {गाडि चालक},"Shiv Shrestha, Karishma Manandhar, Bijay Lama",Raj Kumar Sharma,
87,1994,Tuhuro (Orphan),"Bhuwan K.C., Srijana Basnet, Mausami Malla, Dinesh Sharma (actor)",,
88,1995,Daju Bhai (Brothers),"Bhuwan K.C., Shree Krishna Shrestha, Mausami Malla",Banni Pradhan,
89,1995,Dharma (Religion),,Amar Rasilee,
90,1995,Jaali Rumal (The Knitted Handkerchief),"Shree Krishna Shrestha, Melina Manandhar, Sudhamshu Joshi",Anish Koirala,
91,1995,Janma Bhoomi (Motherland),Bipana Thapa (debut),Mohan Niraula,
92,1995,Jeevan Sangharsha (Struggles of Life),"Rajesh Hamal, Mithila Sharma",,
93,1995,Jwala (Flame),Rajesh Hamal,Mukunda Bastakoti,
94,1995,Karja (Debt),"Dhiren Shakya, Kristi Mainali, Ganesh Upreti",Kishore Rana,
95,1995,Maha Maya (Greatest Love),"Shiv Shrestha, Saroj Khanal, Gauri Malla, Mithila Sharma",Prakash Thapa,
96,1995,Mohani (Fatal Attraction),"Ganesh Upreti, Bina Basnet, Saroj Khanal",Ramesh Budathoki,
97,1995,Prem Pinda (Love),"Saroj Khanal, Sani Rauniyar (debut), Melina Manandhar, Neer Shah",Yadav Kharel,
98,1995,Rajamati [ Ancient Newari girl of Beauty ],"Shree Krishna Shrestha, Maniraj Lawat, Hisila Maharjan",Neer Shah,
99,1995,Ragat (Blood),"Saroj Khanal, Bipana Thapa, Bina Basnet, Anita Silwal",Narayan Puri,
100,1995,Sarangi [Typical Nepali musical Instrument],"Saroj Khanal, Brazesh Khanal, Karishma Manandhar, Saranga Shrestha, Teeka Pahari",Laxminath Sharma,
101,1995,Sarswati [Goddess of Knowledge],"Shiva Shrestha, Sunil Thapa, Gauri Malla",Sambhu Pradhan,
102,1995,Simana (Border),"Rajesh Hamal, Dhiren Shakya, Melina Manandhar",Prakash Sayami,
103,1996,Aaghat (Trauma),"Kristi Mainali, Bhuwan K.C., Shree Krishna Shrestha",Anish Koirala,
104,1996,"""Aafno Birano"" (Native Foreigner)","Rajesh Hamal, Shreekrishna Shrestha, Shrisha Karki",,
105,1996,Avatar (Incarnation),"Rajesh Hamal, Gauri Malla, Jal Shah (debut)",Prakash Sayami,
106,1996,Agni Parichya (The Fire Test),"Rajesh Hamal, Bipana Thapa",Surya Bohra,
107,1996,Anartha (Wrong Meaning),,Kundan Khanal,
108,1996,Andolan (Strike),"Karishma Manandhar, Dinesh Sharma",Tirtha Thapa,
109,1996,Balidan (Offering),"Madan Krishna Shrestha, Hari Bansa Acharya",Tulsi Ghimire,
110,1996,Bandhan (Imprison),"Rajesh Hamal, Karishma Manandhar, Melina Manandhar, Dinesh Sharma",Resh Raj Acharya,
111,1996,Bhariya (Sky Hop),"Rajesh Hamal, Melina Manandhar",Daya Ram Dahal,
112,1996,Chhori Buhari (Daughter Daughter-in-law),"Rajesh Hamal, Pooja Chand",Laxminath Sharma,
113,1996,Chunauti (Challenge),"Saroj Khanal, Shree Krishna Shrestha, Bipana Thapa",Naresh Kumar Poudel,
114,1996,Daijo (Dowry),"Bhuwan K.C., Melina Manandhar",Daya Ram Dahal,
115,1996,Jaya Baba Pashupati Nath (Hail Father Pashupati Nath),"Saroj Khanal, Sudhamshu Joshi",Satish Kumar,
116,1996,Laxmi Puja (Goddess Laxmi worship),"Kristi Mainali, Ganesh Upreti, Shree Krishna Shrestha",,
117,1996,Karodpati (Millionaire),"Bhuwan K.C., Sushmita K.C.",Kishore Rana,
118,1996,Nirmaya,"Shree Krishna Shrestha, Saranga Shrestha",Narayan Puri,
119,1996,Nirmohi,"Dinesh Sharma, Jal Shah, Saroj Khanal",Nayan Raj Pandey,
120,1996,Paachuri (Sawl),"Shiv Shrestha, Bhuwan K.C., Kristi Mainali, Nabina Shrestha",Banni Pradhan,
121,1996,Prateeksha (Waiting),Karishma Manandhar,Raj Bikram Shah,
122,1996,Raanko,"Shiv Shrestha, Bhuwan K.C., Gauri Malla, Mithila Sharma, Bijaya Lama, Kristi Mainali",Kishore Rana,
123,1996,Rahar (Wish),Niruta Singh,Tulsi Ghimire,
124,1996,Sun Chandi (Gold Silver),"Shree Krishna Shrestha, Saranga Shrestha",Sambhu Pradhan,
125,1996,Gothalo (Cowboy),"Krishna Malla, Sarmila Malla, Saroj Khanal, Shree Krishna Shrestha",Ujwal Ghimire,
126,1996,Yo Maya Le Launa Satayo (This love irritated me),,Deepak Rayamajhi,
127,1997,Allare,"Rajesh Hamal, Karishma Manandhar, Ashok Sharma, Shrisha Karki",Ashok Sharma,
128,1997,Bishalu,,Dev Kuamr Shrestha,
129,1997,Chandal[12],"Rajesh Hamal, Karishma Manandhar, Anita Silwal",Arun Kumar Jha,
130,1997,Chahaari,,,
131,1997,Daiba Sanyog,"Manju Kumar Shrestha, Sunny Rauniyar",,
132,1997,Dauntari,,,
133,1997,Des Pardes,"Dhiren Shakya, Karishma Manandhar",Yuva Raj Lama,
134,1997,Deurali,,Yuva Raj Lama,
135,1997,Guru Chela,"Shree Krishna Shrestha, Saranga Shrestha",,
136,1997,Ishwor,"Shiva Shrestha, Jal Shah",,
137,1997,Jalan,Dinesh Sharma,Mukunda Bastakoti,
138,1997,Jameen,"Dhiren Shakya, Bipana Thapa",,
139,1997,Jun Tara,"Rajesh Hamal, Dhiren Shakya, Neer Shah",Ramesh Budathoki,
140,1997,Khelauna,,Yuva Raj Lama,
141,1997,Miteri Gaun,"Shiv Shrestha, Pooja Chand, Pabitra Subba",Gagan Birahi,
142,1997,Naaso,"Shiv Shrestha, Karishma Manandhar, Saranga Shrestha",Yadav Kharel,
143,1997,Pocketmaar,"Dinesh Sharma, Shree Krishna Shrestha",Raju Dhowj Rana,
144,1997,Parai Ghar,"Jal Shah, Ramesh Upreti",Deepak Rayamajhi,
145,1997,Rajkumar,"Dhiren Shakya, Karishma Manandhar, Pooja Chand",,
146,1997,Bandhan,"Dinesh Sharma, Rajesh Hamal, Karishma Manandhar, Melina Manandhar",Resh Raj Acharya,
147,1997,Seema Rekha,"Sanu Baba, Sudhamshu Joshi",Rajani Rana,
148,1997,Shankar,"Rajesh Hamal, Jal Shah, Bipana Thapa",Narayan Puri,
149,1998,Ansha Banda,,Suraj Subba,
150,1998,Malati,"Dinesh Sharma, Shiv Shrestha",Anil Sangraula,
151,1998,Bahadur,,Ashok Shrestha,
152,1998,Bhanu Bhakta,"Dilip Rayamajhi (debut), Anita Silwal (debut)",Yadav Kharel,
153,1998,Chamatkar,,,
154,1998,Chor,"Rajesh Hamal, Bipana Thapa",Raj Kumar Sharma,
155,1998,Devdut (God's Messenger),"Shree Krishna Shrestha, Bipana Thapa, Ramesh Upretti, Yubaraj Lama",Yuva Raj Lama,
156,1998,Dulaha Raja Dulahi Rani,Bipana Thapa,Yuva Raja Lama,
157,1998,Filim,,"Madan Krishna Shrestha, Hari Bansa Acharya",
158,1998,Gaunle,"Rajesh Hamal, Bipana Thapa",Deepak Shrestha,
159,1998,Ghaam Chayan,,Kishore Rana,
160,1998,Jeet,"Shree Krishna Shrestha, Bipana Thapa, Ramesh Upreti",Laxminath Sharma,
161,1998,Mr Ram Krishne,"Rajesh Hamal, Karishma Manandhar, Ashok Sharma, Saranga Shrestha",Ashok Sharma,
162,1998,Nayak,,Manju Kumar Shrestha,
163,1998,Pardesi,,,
164,1998,Pardesi Kancha,"Rajesh Hamal, Karishma Manandhar",,
165,1998,Rana Bhoomi,,Aakash Adhikari,
166,1998,Rani Khola,"Melina Manandhar, Bipana Thapa",,
167,1998,Saathi,Rajesh Hamal,,
168,1998,Sagun,"Shiv Shrestha, Bipana Thapa",,
169,1998,Kasto Samjhauta,,Deepak Rayamajhi,
170,1998,Shikhar,"Shree Krishna Shrestha, Shyaroon Sherpa",Gagan Birahi,
171,1998,Sindur Pote,,Raju Dhowj Rana,
172,1998,Suraksha,"Dinesh Sharma, Niruta Singh, Sunil Thapa",Armit Sharma,
173,1998,The Commando,,JayBee Rai,
174,1998,Thuldai,"Shiv Shrestha, Jal Shah, Niruta Singh",Dayaram Dahal,
175,1999,Afanta,"Niruta Singh, Shree Krishna Shrestha",Shiva Regmi,
176,1999,Apsara,"Bipana Thapa, Sanchita Luitel (debut), Ramesh Upreti",,
177,1999,Awara,,Bijaya Thapa,
178,1999,Bhai,Sushil Chhetri (debut),Deepak Shrestha,
179,1999,Chalachitra,,Biswa Basnet,
180,1999,Chameli,,Ravi Baral,
181,1999,Nepali Babu,"Dinesh Sharma, Bhuwan KC, Sunil Thapa",Yugen Chhopel,
182,1999,Chandani,"Rajesh Hamal, Niruta Singh",Daya Ram Dahal,
183,1999,Chhori Buhari,"Rajesh Hamal,Puja Chand, Nir Shah,Sunil Thapa",Laxmikant Sharma,
184,1999,Dharam Sankat,Rajesh Hamal,Resh Raj Acharya,
185,1999,Dharmaputra,"Dinesh Sharma, Rajesh Hamal, Niruta Singh",Yuva Raj Lama,
186,1999,Dodhar,"Arjun Shrestha, Jal Shah, Ramesh Upreti, Niruta Singh, Tika Pahari",Narendra Shrestha,
187,1999,Ek Number Ko Pakhe,"Rajesh Hamal, Karishma Manandhar, Jal Shah, Neer Shah, Dinesh DC",Kishore Rana,
188,1999,Gorkhali,"Sree Krishna Shrestha, Jharana Thapa",Gyanendra Deuja,
189,1999,Hathiyar,"Jharna Bajracharya, Karisma Manandhar, Lokendra Karki, Simanta Udas",Prakash Sayami,
190,1999,Himalaya  (Caravan) official entry for the Oscars,,,
191,1999,Jange,,Daya Ram Dahal,
192,1999,Kancha,"Rajesh Hamal, Karishma Manandhar",Surya Bohra,
193,1999,Mato Bolcha,"Rajesh Hamal, Bipana Thapa, Dinesh Sharma, Melina Manandhar",Resh Raj Acharya,
194,1999,Maute Dai,"Yuva Raj Lama, Ramesh Upreti, Jala Shah",Yuva Raj Lama,
195,1999,Nagad Narayan,"Ramesh Upreti, Rajesh Hamal, Raj Acharya",Resh Raj Acharya,
196,1999,Nata Ragat Ko,"Niruta Singh, Ganesh Upreti, Shree Krishna Shrestha, Jal Shah",,
197,1999,Pareli,,Deepak Rayamajhi,
198,1999,Sukumbasi,"Sunildutta Pandey, Rajesh Hamal",Sagar Ghimire,
199,1999,Timinai Basyau Mero Manma,"Dinesh Sharma, Jal Shah, Sunil Thapa",Banni Pradhan,
200,2000,Aago,"Sushil Chhetri, Bipana Thapa, Niruta Singh",Narayan Puri,
201,2000,Basanti,"Rajesh Hamal, Karishma Manandhar, Gauri Malla",Neer Shah,
202,2000,Dhuk Dhuki,"Rajesh Hamal, Karishma Manandhar",,
203,2000,Jindagani,"Rajesh Hamal, Karishma Manandhar",Ujwal Ghimire,
204,2000,Mukundo,"Gauri Malla, Mithila Sharma",,
